M_fuel_sim,M_air_sim,eta_c,Q_gross,X_res,Diesel_fuel,Ammonia_fuel,Fresh_air,CA50,Var10,DI_duration
8.18720488503043e-05,0.00165617447855913,0.401683913922678,697.002981326048,0.0342261753026494,8.04649569002628e-06,7.23020731604922e-05,0.00159568930058579,8.39999999999998,43.8,0.417014178482068
8.18786154371321e-05,0.00165426265705767,0.386637942222093,674.686909062569,0.0427558491062681,8.03859577865618e-06,7.22981151279991e-05,0.00159316674044556,9,43.8,0.416666666666667
8.1866880211387e-05,0.00165167408856148,0.485762130431456,838.232272018707,0.0296888350226183,8.03600209071848e-06,7.23048209873636e-05,0.00159181020340585,7.19999999999999,43.8,0.416666666666667
8.18707730717993e-05,0.00165022784970569,0.432776475855041,753.373398247427,0.0412859844541154,8.03860363590092e-06,7.23398968231793e-05,0.00159355572782221,7.39999999999998,43.8,0.416666666666667
8.19085232036064e-05,0.00165192342359102,0.30188241792684,529.110251082314,0.0424254394537976,8.04120518108336e-06,7.2374972658995e-05,0.00159530125223857,8.80000000000001,43.8,0.416666666666667
8.19469060690907e-05,0.00165372818261678,0.443860021428801,768.610879743369,0.0321026456311217,8.04578283798556e-06,7.23610936663425e-05,0.0015947951660537,8,43.8,0.417014178482068
8.19383220425216e-05,0.00165328511682954,0.424799300041848,734.799998025148,0.0297989474355849,8.0464095070174e-06,7.23259496372945e-05,0.00159331102350784,7.19999999999999,43.8,0.417014178482068
8.19036442619378e-05,0.00165178551619785,0.421438294019155,731.573234534965,0.0364910497901315,8.04049236729332e-06,7.22936515654725e-05,0.00159200666111574,7.39999999999998,43.8,0.41631973355537
8.18647809828209e-05,0.00165042874497734,0.412240142566836,717.608560672277,0.040695277352938,8.04243328072751e-06,7.22820018216101e-05,0.00159200666111574,8.19999999999999,43.8,0.41631973355537
8.18543458651141e-05,0.00165038120881506,0.400156518742431,694.143990109576,0.0343051156912513,8.04437419416169e-06,7.22703520777477e-05,0.00159200666111574,8.60000000000002,43.8,0.41631973355537
8.18444420204356e-05,0.00165037939912394,0.404660341050716,702.491998850861,0.0359694753274172,8.04349915684841e-06,7.2264025258524e-05,0.00159218158975408,7,43.8,0.41631973355537
8.18370550782196e-05,0.00165055410778207,0.433937802010481,757.8198079571,0.048129907178371,8.04362358195103e-06,7.22621405017054e-05,0.00159250249902914,8,43.8,0.416666666666667
8.18351566973663e-05,0.00165088094126008,0.4123042209701,719.514058078755,0.0453226450841225,8.04039724700127e-06,7.22602557448869e-05,0.00159282340830421,7.80000000000001,43.8,0.416666666666667
8.18300101281526e-05,0.00165121312259619,0.468290359785624,808.192181270925,0.0301126144476917,8.04123908183473e-06,7.22357166111747e-05,0.00159283333333333,7.60000000000002,43.8,0.416666666666667
8.18062166488218e-05,0.00165123445299807,0.477498905100503,825.818653854496,0.0350702393884152,8.04221075187404e-06,7.22104544654339e-05,0.00159283333333333,7.39999999999998,43.8,0.416666666666667
8.17814815142613e-05,0.00165123481248123,0.438174255839739,759.384106636116,0.0362217827116957,8.05234817541577e-06,7.21874836424228e-05,0.00159301133900283,8.19999999999999,43.8,0.416666666666667
8.17681858580299e-05,0.00165141243747287,0.419024302368122,727.518638498144,0.0373896923008069,8.0766399264973e-06,7.2168051222709e-05,0.00159346423211606,8.19999999999999,43.8,0.416666666666667
